"i","j","D_ij","civ_i","civ_j","civ_ij","comciv"
"AO","GB",-6.011742,"afric","wstrn",NA,0
"AO","GE",0.4145103,"afric","ortho",NA,0
"AO","GH",2.347688,"afric","afric","afric",1
"AO","GM",-2.865004,"afric","islam",NA,0
"AO","GR",-2.783768,"afric","ortho",NA,0
"AO","GT",-11.24013,"afric","latam",NA,0
"AO","GU",-11.24013,"afric",NA,NA,0
"AO","GY",-2.285892,"afric",NA,NA,0
"AO","HK",-6.115751,"afric","sinic",NA,0
"AO","HN",-11.24013,"afric","latam",NA,0
"AO","HR",-5.561873,"afric","wstrn",NA,0
"AO","HT",-11.24013,"afric",NA,NA,0
"AO","HU",-0.2225669,"afric","wstrn",NA,0
"AO","ID",-4.096023,"afric","islam",NA,0
"AO","IE",-0.8542251,"afric","wstrn",NA,0
"AO","IL",-2.217969,"afric","wstrn",NA,0
"AO","IN",-11.24013,"afric","hindu",NA,0
"AO","IT",-11.24013,"afric","wstrn",NA,0
"AO","JM",-0.1517619,"afric","wstrn",NA,0
"AO","JO",-11.24013,"afric","islam",NA,0
"AO","JP",-11.24013,"afric",NA,NA,0
"AO","KE",-5.330506,"afric","afric","afric",1
"AO","KH",0.2453938,"afric","buddh",NA,0
"AO","KM",-4.249781,"afric","afric","afric",1
"AO","KR",-0.4104389,"afric","sinic",NA,0
"AO","KW",1.300888,"afric","islam",NA,0
"AO","KY",-2.692377,"afric","afric","afric",1
"AO","KZ",2.613386,"afric","ortho",NA,0
"AO","LA",-11.24013,"afric","buddh",NA,0
"AO","LB",-4.771949,"afric","islam",NA,0
"AO","LC",-11.24013,"afric","latam",NA,0
"AO","LK",-11.24013,"afric","buddh",NA,0
"AO","LR",-3.848182,"afric","afric","afric",1
"AO","LT",-2.046974,"afric","wstrn",NA,0
"AO","LU",1.245674,"afric","wstrn",NA,0
"AO","LV",-11.24013,"afric","wstrn",NA,0
"AO","MA",-11.24013,"afric","islam",NA,0
"AO","MD",-3.103409,"afric","ortho",NA,0
"AO","ME",-11.24013,"afric",NA,NA,0
"AO","MG",-11.24013,"afric","afric","afric",1
"AO","MK",-2.477177,"afric","ortho",NA,0
"AO","ML",-6.059269,"afric","islam",NA,0
"AO","MN",-11.24013,"afric","buddh",NA,0
"AO","MO",-11.24013,"afric",NA,NA,0
"AO","MP",-3.209435,"afric",NA,NA,0
"AO","MR",-0.9173265,"afric","afric","afric",1
"AO","MT",-2.362585,"afric","wstrn",NA,0
"AO","MU",-3.360356,"afric","afric","afric",1
"AO","MX",-2.006788,"afric","latam",NA,0
